"nome","linguagem","total_pr_aceitas","total_releases","data_coleta"
"ComposioHQ/awesome-claude-skills","Python",38,0,"2026-08-19T14:04:57.322Z"
"microsoft/ai-agents-for-beginners","Jupyter Notebook",505,0,"2026-08-19T14:04:57.322Z"
"NationalSecurityAgency/ghidra","Java",583,55,"2026-08-19T14:04:57.322Z"
"juliangarnier/anime","JavaScript",87,37,"2026-08-19T14:04:57.322Z"
"hakimel/reveal.js","JavaScript",415,51,"2026-08-19T14:04:57.322Z"
"pallets/flask","Python",1633,38,"2026-08-19T14:04:57.322Z"
"chrislgarry/Apollo-11","Assembly",0,0,"2026-08-19T14:04:57.322Z"
"OpenBB-finance/OpenBB","Python",4303,56,"2026-08-19T14:04:57.322Z"
"moby/moby","Go",23041,308,"2026-08-19T14:04:57.322Z"
"daytonaio/daytona","N/A",2505,205,"2026-08-19T14:04:57.322Z"
"protocolbuffers/protobuf","C++",9744,218,"2026-08-19T14:04:57.322Z"
"toeverything/AFFiNE","TypeScript",9352,567,"2026-08-19T14:04:57.322Z"
"nektos/act","Go",1061,97,"2026-08-19T14:04:57.322Z"
"Asabeneh/30-Days-Of-Python","Python",144,0,"2026-08-19T14:04:57.322Z"
"binary-husky/gpt_academic","Python",228,32,"2026-08-19T14:04:57.322Z"
"666ghj/MiroFish","Python",27,3,"2026-08-19T14:04:57.322Z"
"prakhar1989/awesome-courses","N/A",194,0,"2026-08-19T14:04:57.322Z"
"ansible/ansible","Python",40060,252,"2026-08-19T14:04:57.322Z"
"swiftlang/swift","Swift",60688,70,"2026-08-19T14:04:57.322Z"
"FoundationAgents/MetaGPT","Python",673,22,"2026-08-19T14:04:57.322Z"
"expressjs/express","JavaScript",550,165,"2026-08-19T14:04:57.322Z"
"base/node","Shell",275,86,"2026-08-19T14:04:57.322Z"
"ruvnet/ruflo","TypeScript",565,1000,"2026-08-19T14:04:57.322Z"
"code-yeongyu/oh-my-openagent","TypeScript",2646,236,"2026-08-19T14:04:57.322Z"
"openinterpreter/openinterpreter","Rust",436,64,"2026-08-19T14:04:57.322Z"
"chartjs/Chart.js","JavaScript",3018,117,"2026-08-19T14:04:57.322Z"
"BurntSushi/ripgrep","Rust",571,75,"2026-08-19T14:04:57.322Z"
"labmlai/annotated_deep_learning_paper_implementations","Python",104,0,"2026-08-19T14:04:57.322Z"
"apache/echarts","TypeScript",1524,125,"2026-08-19T14:04:57.322Z"
"gorhill/uBlock","JavaScript",0,288,"2026-08-19T14:04:57.322Z"
"colbymchenry/codegraph","C",458,30,"2026-08-19T14:04:57.322Z"
"scikit-learn/scikit-learn","Python",14714,50,"2026-08-19T14:04:57.322Z"
"headroomlabs-ai/headroom","Python",1458,162,"2026-08-19T14:04:57.322Z"
"bradtraversy/design-resources-for-developers","N/A",978,0,"2026-08-19T14:04:57.322Z"
"xtekky/gpt4free","Python",911,503,"2026-08-19T14:04:57.322Z"
"sindresorhus/awesome-nodejs","N/A",421,0,"2026-08-19T14:04:57.322Z"
"leonardomso/33-js-concepts","JavaScript",269,0,"2026-08-19T14:04:57.322Z"
"cline/cline","TypeScript",4462,374,"2026-08-19T14:04:57.322Z"
"TheAlgorithms/Java","Java",2392,0,"2026-08-19T14:04:57.322Z"
"facebook/docusaurus","TypeScript",5848,157,"2026-08-19T14:04:57.322Z"
"webpack/webpack","JavaScript",6356,462,"2026-08-19T14:04:57.322Z"
"prometheus/prometheus","Go",8843,377,"2026-08-19T14:04:57.322Z"
"LadybirdBrowser/ladybird","C++",8038,0,"2026-08-19T14:04:57.322Z"
"dani-garcia/vaultwarden","Rust",1165,85,"2026-08-19T14:04:57.322Z"
"kelseyhightower/nocode","Dockerfile",1,1,"2026-08-19T14:04:57.322Z"
"microsoft/AI-For-Beginners","Jupyter Notebook",312,0,"2026-08-19T14:04:57.322Z"
"Fission-AI/OpenSpec","TypeScript",560,44,"2026-08-19T14:04:57.322Z"
"santifer/career-ops","JavaScript",1082,35,"2026-08-19T14:04:57.322Z"
"alacritty/alacritty","Rust",1937,108,"2026-08-19T14:04:57.322Z"
"lydiahallie/javascript-questions","N/A",327,0,"2026-08-19T14:04:57.322Z"
"kdn251/interviews","Java",42,0,"2026-08-19T14:04:57.322Z"
